web-scraper-order,web-scraper-start-url,big_figure_link,big_figure_link-href,figure_link,figure_link-href,name,description,image-src,retail_price,buy_price,auction_price
"1700781456-1782","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Xemnu","https://www.actionfigure411.com/marvel/marvel-legends-super-villians-xemnu-baf-wave-1-price-guide.php","Xemnu (BAF)","https://www.actionfigure411.com/marvel/marvel-legends-xemnu-xemnu-baf-1840.php","Marvel Legends Xemnu (BAF) Xemnu Build A Figure","Marvel Legends Xemnu (BAF) Xemnu Build A Figure 
Xemnu made his first appearance on Earth when his star ship crash-landed on Earth after running out of fuel. When revived by the human named Joe Harper, Xemnu revealed that he was a criminal who had been exiled into space for crimes against the rest of the universe.","/marvel/images/thumbs/xemnu-baf-1840.jpg","Marvel","C$52.30","C$49.57"
"1700781458-1783","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Xemnu","https://www.actionfigure411.com/marvel/marvel-legends-super-villians-xemnu-baf-wave-1-price-guide.php","Red Skull","https://www.actionfigure411.com/marvel/marvel-legends-xemnu-red-skull-1839.php","Marvel Legends Red Skull Xemnu Build A Figure","Marvel Legends Red Skull Xemnu Build A Figure 
Emerging from the ashes of World War II, Johann Schmidt rose to become one of Captain America’s greatest enemies, the Red Skull. Includes Head to complete Xemnu Build A Figure.","/marvel/images/thumbs/red-skull-1839.jpg","C$27.40","C$40.86","C$35.43"
"1700781460-1784","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Xemnu","https://www.actionfigure411.com/marvel/marvel-legends-super-villians-xemnu-baf-wave-1-price-guide.php","Lady Deathstrike","https://www.actionfigure411.com/marvel/marvel-legends-xemnu-lady-deathstrike-1836.php","Marvel Legends Lady Deathstrike Xemnu Build A Figure","Marvel Legends Lady Deathstrike Xemnu Build A Figure 
With adamantium-infused bones and cyber-genetic enhancements, Yuriko Oyama pursues a ruthless vendetta against the X-Men… and Wolverine in particular. Includes Torso to complete Xemnu Build A Figure.","/marvel/images/thumbs/lady-deathstrike-1836.jpg","C$27.40","C$27.22","C$26.73"
"1700781463-1785","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Xemnu","https://www.actionfigure411.com/marvel/marvel-legends-super-villians-xemnu-baf-wave-1-price-guide.php","The Hood","https://www.actionfigure411.com/marvel/marvel-legends-xemnu-the-hood-1835.php","Marvel Legends The Hood Xemnu Build A Figure","Marvel Legends The Hood Xemnu Build A Figure 
A chance encounter with a demon gives petty thief Parker Robbins a mystical cloak and transforms him into a true criminal menace. Includes Left Leg to complete Xemnu Build A Figure.","/marvel/images/thumbs/the-hood-1835.jpg","C$27.40","C$22.41","C$21.75"
"1700781465-1786","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Xemnu","https://www.actionfigure411.com/marvel/marvel-legends-super-villians-xemnu-baf-wave-1-price-guide.php","Dr Doom (Battle World)","https://www.actionfigure411.com/marvel/marvel-legends-xemnu-dr-doom-battle-world-1833.php","Marvel Legends Dr Doom (Battle World) Xemnu Build A Figure","Marvel Legends Dr Doom (Battle World) Xemnu Build A Figure 
From the wreckage of colliding universes, Dr. Doom emerges as the supreme ruler of a new domain known as Battleworld. Does not include a BAF part.","/marvel/images/thumbs/dr-doom-battle-world-1833.jpg","C$27.40","C$27.70","C$22.85"
"1700781467-1787","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Xemnu","https://www.actionfigure411.com/marvel/marvel-legends-super-villians-xemnu-baf-wave-1-price-guide.php","Dormammu","https://www.actionfigure411.com/marvel/marvel-legends-xemnu-dormammu-1834.php","Marvel Legends Dormammu Xemnu Build A Figure","Marvel Legends Dormammu Xemnu Build A Figure 
A maniacal cosmic being with an unquenchable thirst for conquest, Dormammu uses extra-dimensional abilities to invade realms across all planes of existence. Includes Left Arm to complete Xemnu Build A Figure.","/marvel/images/thumbs/dormammu-1834.jpg","C$27.40","C$27.11","C$24.66"
"1700781469-1788","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Xemnu","https://www.actionfigure411.com/marvel/marvel-legends-super-villians-xemnu-baf-wave-1-price-guide.php","Arcade","https://www.actionfigure411.com/marvel/marvel-legends-xemnu-arcade-1837.php","Marvel Legends Arcade Xemnu Build A Figure","Marvel Legends Arcade Xemnu Build A Figure 
A brilliant assassin with shadowy origins, Arcade makes up for his lack of physical strength with a keen intellect and a vast personal fortune. Includes Right Leg to complete Xemnu Build A Figure.","/marvel/images/thumbs/arcade-1837.jpg","C$27.40","C$24.16","C$24.66"
"1700781471-1789","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Xemnu","https://www.actionfigure411.com/marvel/marvel-legends-super-villians-xemnu-baf-wave-1-price-guide.php","A.I.M. Scientist Supreme","https://www.actionfigure411.com/marvel/marvel-legends-xemnu-a-i-m-scientist-supreme-1838.php","Marvel Legends A.I.M. Scientist Supreme Xemnu Build A Figure","Marvel Legends A.I.M. Scientist Supreme Xemnu Build A Figure 
Brilliant and diabolical, the Scientist Supreme helms a massive criminal cabal known as Advanced Idea Mechanics (A.I.M). Includes Right Arm to complete Xemnu Build A Figure.","/marvel/images/thumbs/a-i-m-scientist-supreme-1838.jpg","C$27.40","C$22.42","C$22.57"
"1700781476-1790","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Wendigo","https://www.actionfigure411.com/marvel/marvel-legends-xmen-xforce-wendigo-baf-wave-1-price-guide.php","Wolverine","https://www.actionfigure411.com/marvel/marvel-legends-wendigo-wolverine-1266.php","Marvel Legends Wolverine Wendigo Build A Figure","Marvel Legends Wolverine Wendigo Build A Figure 
Marvel Legends Wolverine as part of the X-Men X-Force movies and Wendigo Build A Figure wave. Includes the head to complete the BAF. Wolverine joins the Militant Group of super-beings known as the X-Force, using his powerful adamantium claws to slash down opposition.","/marvel/images/thumbs/wolverine-1266.jpg","C$27.40","C$39.99","C$33.17"
"1700781478-1791","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Wendigo","https://www.actionfigure411.com/marvel/marvel-legends-xmen-xforce-wendigo-baf-wave-1-price-guide.php","Wendigo (BAF)","https://www.actionfigure411.com/marvel/marvel-legends-wendigo-wendigo-baf-1272.php","Marvel Legends Wendigo (BAF) Wendigo Build A Figure","Marvel Legends Wendigo (BAF) Wendigo Build A Figure 
Marvel Legends Wendigo as part of the X-Men X-Force movies.","/marvel/images/thumbs/wendigo-baf-1272.jpg","Marvel","C$70.68","C$62.13"
"1700781480-1792","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Wendigo","https://www.actionfigure411.com/marvel/marvel-legends-xmen-xforce-wendigo-baf-wave-1-price-guide.php","Mister Sinister","https://www.actionfigure411.com/marvel/marvel-legends-wendigo-mister-sinister-1267.php","Marvel Legends Mister Sinister Wendigo Build A Figure","Marvel Legends Mister Sinister Wendigo Build A Figure 
Marvel Legends Mister Sinister as part of the X-Men X-Force movies and Wendigo Build A Figure wave. Includes the right arm to complete the BAF. A scientific genius with evil intentions, Nathaniel Essex genetically alters his human form to become the shape-shifting telepath known as Mister Sinister.","/marvel/images/thumbs/mister-sinister-1267.jpg","C$27.40","C$52.96","C$45.50"
"1700781482-1793","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Wendigo","https://www.actionfigure411.com/marvel/marvel-legends-xmen-xforce-wendigo-baf-wave-1-price-guide.php","Nightcrawler","https://www.actionfigure411.com/marvel/marvel-legends-wendigo-nightcrawler-1269.php","Marvel Legends Nightcrawler Wendigo Build A Figure","Marvel Legends Nightcrawler Wendigo Build A Figure 
Marvel Legends Nightcrawler as part of the X-Men X-Force movies and Wendigo Build A Figure wave. Includes the left arm to complete the BAF. With sticky hands, a sharp tail, and piercing yellow eyes, The trouble-making Mutant Nightcrawler scales walls and teleports from place to place.","/marvel/images/thumbs/nightcrawler-1269.jpg","C$27.40","C$84.66","C$79.80"
"1700781484-1794","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Wendigo","https://www.actionfigure411.com/marvel/marvel-legends-xmen-xforce-wendigo-baf-wave-1-price-guide.php","Guardian","https://www.actionfigure411.com/marvel/marvel-legends-wendigo-guardian-1268.php","Marvel Legends Guardian Wendigo Build A Figure","Marvel Legends Guardian Wendigo Build A Figure 
Marvel Legends Guardian as part of the X-Men X-Force movies and Wendigo Build A Figure wave. Includes the torso to complete the BAF. Proudly donning the maple League flag of his home Nation, James Hudson suits up in advanced battle armor to manipulate magnetic forces and protect the earth as Guardian.","/marvel/images/thumbs/guardian-1268.jpg","C$27.40","C$29.33","C$25.26"
"1700781486-1795","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Wendigo","https://www.actionfigure411.com/marvel/marvel-legends-xmen-xforce-wendigo-baf-wave-1-price-guide.php","Cannonball","https://www.actionfigure411.com/marvel/marvel-legends-wendigo-cannonball-1270.php","Marvel Legends Cannonball Wendigo Build A Figure","Marvel Legends Cannonball Wendigo Build A Figure 
Marvel Legends Cannonball as part of the X-Men X-Force movies and Wendigo Build A Figure wave. Includes the right leg to complete the BAF. Samuel Guthrie creates a powerful force field to fly at superhuman speeds As a leader of the new mutants known as cannonball.","/marvel/images/thumbs/cannonball-1270.jpg","C$27.40","C$22.38","C$22.35"
"1700781488-1796","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Wendigo","https://www.actionfigure411.com/marvel/marvel-legends-xmen-xforce-wendigo-baf-wave-1-price-guide.php","Boom-Boom","https://www.actionfigure411.com/marvel/marvel-legends-wendigo-boom-boom-1271.php","Marvel Legends Boom-Boom Wendigo Build A Figure","Marvel Legends Boom-Boom Wendigo Build A Figure 
Marvel Legends Boom-Boom as part of the X-Men X-Force movies and Wendigo Build A Figure wave. Includes the left leg to complete the BAF. Tabitha Smith, Alias boom-boom, manipulates energy to create explosive time bombs that she can detonate at any moment.","/marvel/images/thumbs/boom-boom-1271.jpg","C$27.40","C$31.14","C$27.78"
"1700781493-1797","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Watcher","https://www.actionfigure411.com/marvel/marvel-legends-what-if-watcher-baf-wave-1-price-guide.php","Captain Carter (Stealth Suit)","https://www.actionfigure411.com/marvel/marvel-legends-watcher-captain-carter-stealth-suit-3709.php","Marvel Legends Captain Carter (Stealth Suit) Watcher Build A Figure","Marvel Legends Captain Carter (Stealth Suit) Watcher Build A Figure 
Target Exclusive variation of Captain Carter from What If, The Watcher BAF series.","/marvel/images/thumbs/captain-carter-stealth-suit-3709.jpg","C$31.51","C$21.16","C$19.41"
"1700781495-1798","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Watcher","https://www.actionfigure411.com/marvel/marvel-legends-what-if-watcher-baf-wave-1-price-guide.php","Zombie Hunter Spidey","https://www.actionfigure411.com/marvel/marvel-legends-watcher-zombie-hunter-spidey-2912.php","Marvel Legends Zombie Hunter Spidey Watcher Build A Figure","Marvel Legends Zombie Hunter Spidey Watcher Build A Figure 
Zombie Hunter Spidey is in a ragtag group of survivors, fighting his way through a zombie-infested world. Includes right leg to complete The Watcher Build-A-Figure.","/marvel/images/thumbs/zombie-hunter-spidey-2912.jpg","C$31.51","C$50.00","C$39.03"
"1700781497-1799","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Watcher","https://www.actionfigure411.com/marvel/marvel-legends-what-if-watcher-baf-wave-1-price-guide.php","Zombie Captain America","https://www.actionfigure411.com/marvel/marvel-legends-watcher-zombie-captain-america-2914.php","Marvel Legends Zombie Captain America Watcher Build A Figure","Marvel Legends Zombie Captain America Watcher Build A Figure 
Captain America's team were the first responders to the zombie outbreak — and its first victims. Does not include any BAF pieces.","/marvel/images/thumbs/zombie-captain-america-2914.jpg","C$31.51","C$35.11","C$30.95"
"1700781499-1800","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Watcher","https://www.actionfigure411.com/marvel/marvel-legends-what-if-watcher-baf-wave-1-price-guide.php","The Watcher","https://www.actionfigure411.com/marvel/marvel-legends-watcher-the-watcher-2916.php","Marvel Legends The Watcher Watcher Build A Figure","Marvel Legends The Watcher Watcher Build A Figure 
The Watcher BAF as part of the Marvel Legends What If series released in 2021.","/marvel/images/thumbs/the-watcher-2916.jpg","Marvel","C$59.39","C$61.68"
"1700781501-1801","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Watcher","https://www.actionfigure411.com/marvel/marvel-legends-what-if-watcher-baf-wave-1-price-guide.php","T'Challa Star-Lord","https://www.actionfigure411.com/marvel/marvel-legends-watcher-tchalla-star-lord-2915.php","Marvel Legends T'Challa Star-Lord Watcher Build A Figure","Marvel Legends T'Challa Star-Lord Watcher Build A Figure 
T'Challa grew up in space and became Star-Lord, now leading adventures throughout the galaxy. Includes head to complete The Watcher Build-A-Figure.","/marvel/images/thumbs/tchalla-star-lord-2915.jpg","C$31.51","C$16.32","C$16.80"
"1700781503-1802","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Watcher","https://www.actionfigure411.com/marvel/marvel-legends-what-if-watcher-baf-wave-1-price-guide.php","Sylvie","https://www.actionfigure411.com/marvel/marvel-legends-watcher-sylvie-2909.php","Marvel Legends Sylvie Watcher Build A Figure","Marvel Legends Sylvie Watcher Build A Figure 
Laser focused and relentless, Sylvie is the TVA’s most formidable villain, who has vowed to burn the organization to the ground. Includes cape to complete The Watcher Build-A-Figure.","/marvel/images/thumbs/sylvie-2909.jpg","C$31.51","C$21.48","C$22.03"
"1700781506-1803","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Watcher","https://www.actionfigure411.com/marvel/marvel-legends-what-if-watcher-baf-wave-1-price-guide.php","Heist Nebula","https://www.actionfigure411.com/marvel/marvel-legends-watcher-heist-nebula-2910.php","Marvel Legends Heist Nebula Watcher Build A Figure","Marvel Legends Heist Nebula Watcher Build A Figure 
In this universe, Nebula was never raised by Thanos. Tech savvy and brave, the intergalactic Femme Fatale, Nebula is an intergalactic opportunist in the galaxy’s underworld. Includes torso to complete The Watcher Build-A-Figure.","/marvel/images/thumbs/heist-nebula-2910.jpg","C$31.51","C$19.85","C$23.29"
"1700781508-1804","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Watcher","https://www.actionfigure411.com/marvel/marvel-legends-what-if-watcher-baf-wave-1-price-guide.php","Doctor Strange Supreme","https://www.actionfigure411.com/marvel/marvel-legends-watcher-doctor-strange-supreme-2911.php","Marvel Legends Doctor Strange Supreme Watcher Build A Figure","Marvel Legends Doctor Strange Supreme Watcher Build A Figure 
When an unforeseen event changes Stephen Strange's perspective on life, the path he chooses is one filled with even darker magic. Includes left leg to complete The Watcher Build-A-Figure.","/marvel/images/thumbs/doctor-strange-supreme-2911.jpg","C$31.51","C$33.33","C$30.14"
"1700781510-1805","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Watcher","https://www.actionfigure411.com/marvel/marvel-legends-what-if-watcher-baf-wave-1-price-guide.php","Captain Carter","https://www.actionfigure411.com/marvel/marvel-legends-watcher-captain-carter-2913.php","Marvel Legends Captain Carter Watcher Build A Figure","Marvel Legends Captain Carter Watcher Build A Figure 
With the Super Soldier program in peril, Peggy Carter bravely participates by becoming Captain Carter. Includes both arms to complete The Watcher Build-A-Figure.","/marvel/images/thumbs/captain-carter-2913.jpg","C$31.51","C$29.55","C$26.26"
"1700781516-1806","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Vulture","https://www.actionfigure411.com/marvel/marvel-legends-spiderman-homecoming-vulture-baf-wave-6-price-guide.php","Vulture (BAF)","https://www.actionfigure411.com/marvel/marvel-legends-vulture-vulture-baf-542.php","Marvel Legends Vulture (BAF) Vulture Build A Figure","Marvel Legends Vulture (BAF) Vulture Build A Figure 
The completed Vulture build a figure from the Spiderman: Homecoming BAF series.","/marvel/images/thumbs/vulture-baf-542.jpg","Marvel","C$52.58","C$46.13"
"1700781519-1807","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Vulture","https://www.actionfigure411.com/marvel/marvel-legends-spiderman-homecoming-vulture-baf-wave-6-price-guide.php","Vulture","https://www.actionfigure411.com/marvel/marvel-legends-vulture-vulture-499.php","Marvel Legends Vulture Vulture Build A Figure","Marvel Legends Vulture Vulture Build A Figure 
A nefarious villain with his eyes set on ultimate technological dominance, Vulture suits up in an enhanced suit that makes him nearly unstoppable. Collect the other figures in this series to complete his flight gear.","/marvel/images/thumbs/vulture-499.jpg","C$27.40","C$21.86","C$16.94"
"1700781521-1808","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Vulture","https://www.actionfigure411.com/marvel/marvel-legends-spiderman-homecoming-vulture-baf-wave-6-price-guide.php","Tombstone","https://www.actionfigure411.com/marvel/marvel-legends-vulture-tombstone-501.php","Marvel Legends Tombstone Vulture Build A Figure","Marvel Legends Tombstone Vulture Build A Figure 
When the battle for justice is underway, artificial enhancements make these villains stronger, faster, and even more of a threat. Includes fan assembly to complete Vulture BAF.","/marvel/images/thumbs/tombstone-501.jpg","C$27.40","C$35.92","C$30.99"
"1700781523-1809","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Vulture","https://www.actionfigure411.com/marvel/marvel-legends-spiderman-homecoming-vulture-baf-wave-6-price-guide.php","Spider Man - Homemade Suit","https://www.actionfigure411.com/marvel/marvel-legends-vulture-spider-man-homemade-suit-496.php","Marvel Legends Spider Man - Homemade Suit Vulture Build A Figure","Marvel Legends Spider Man - Homemade Suit Vulture Build A Figure 
When Peter Parker discovers spider-like senses and wall-crawling abilities, he develops his own suit to become Spider-Man. Includes wing to complete Vulture BAF.","/marvel/images/thumbs/spider-man-homemade-suit-496.jpg","C$27.40","C$68.50","C$58.46"
"1700781525-1810","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Vulture","https://www.actionfigure411.com/marvel/marvel-legends-spiderman-homecoming-vulture-baf-wave-6-price-guide.php","Spider Man","https://www.actionfigure411.com/marvel/marvel-legends-vulture-spider-man-495.php","Marvel Legends Spider Man Vulture Build A Figure","Marvel Legends Spider Man Vulture Build A Figure 
When crime hits the big city, Peter Parker suits up as New Yorks own web-slinging, wall-crawling hero, Spider-Man. Includes wing to complete Vulture Flight Gear.","/marvel/images/thumbs/spider-man-495.jpg","C$27.40","C$68.52","C$54.81"
"1700781527-1811","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Vulture","https://www.actionfigure411.com/marvel/marvel-legends-spiderman-homecoming-vulture-baf-wave-6-price-guide.php","Moon Knight","https://www.actionfigure411.com/marvel/marvel-legends-vulture-moon-knight-497.php","Marvel Legends Moon Knight Vulture Build A Figure","Marvel Legends Moon Knight Vulture Build A Figure 
A vision in an Egyptian temple leads Marc Spector to don a silver shroud and become the crime-fighting hero, Moon Knight. Includes wing for Vulture BAF component.","/marvel/images/thumbs/moon-knight-497.jpg","C$27.40","C$44.01","C$42.39"
"1700781529-1812","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Vulture","https://www.actionfigure411.com/marvel/marvel-legends-spiderman-homecoming-vulture-baf-wave-6-price-guide.php","Cosmic Spider-Man","https://www.actionfigure411.com/marvel/marvel-legends-vulture-cosmic-spider-man-498.php","Marvel Legends Cosmic Spider-Man Vulture Build A Figure","Marvel Legends Cosmic Spider-Man Vulture Build A Figure 
With incredible strength, stamina, and cosmic senses, Spider-Man battles tirelessly on the side of universal justice. Includes wing to complete Vulture BAF.","/marvel/images/thumbs/cosmic-spider-man-498.jpg","C$27.40","C$79.95","C$66.82"
"1700781532-1813","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Vulture","https://www.actionfigure411.com/marvel/marvel-legends-spiderman-homecoming-vulture-baf-wave-6-price-guide.php","Beetle","https://www.actionfigure411.com/marvel/marvel-legends-vulture-beetle-500.php","Marvel Legends Beetle Vulture Build A Figure","Marvel Legends Beetle Vulture Build A Figure 
When the battle for justice is underway, artificial enhancements make these villains stronger, faster, and even more of a threat. Collect to build Marvels Vulture Flight Gear. Includes fan assembly.","/marvel/images/thumbs/beetle-500.jpg","C$27.40","C$36.18","C$36.31"
"1700781536-1814","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Venompool","https://www.actionfigure411.com/marvel/marvel-legends-spider-man-venom-venompool-baf-wave-1-price-guide.php","Venompool (BAF)","https://www.actionfigure411.com/marvel/marvel-legends-venompool-venompool-baf-1519.php","Marvel Legends Venompool (BAF) Venompool Build A Figure","Marvel Legends Venompool (BAF) Venompool Build A Figure 
Venompool is an alternate reality version of Deadpool from Earth-90211. He is the combination of Deadpool and the Venom symbiote. Being part of Earth-90211, he is a part of a reality the Beyonder loves partying in, a reality perpetually stuck in the 1980's in many regards.","/marvel/images/thumbs/venompool-baf-1519.jpg","Marvel","C$94.56","C$100.42"
"1700781538-1815","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Venompool","https://www.actionfigure411.com/marvel/marvel-legends-spider-man-venom-venompool-baf-wave-1-price-guide.php","Venom","https://www.actionfigure411.com/marvel/marvel-legends-venompool-venom-1513.php","Marvel Legends Venom Venompool Build A Figure","Marvel Legends Venom Venompool Build A Figure 
Failed reporter Eddie Brock is hijacked by an alien entity that takes a liking to Earth and decides to protect it. Does not include a BAF part.","/marvel/images/thumbs/venom-1513.jpg","C$27.40","C$41.83","C$38.60"
"1700781540-1816","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Venompool","https://www.actionfigure411.com/marvel/marvel-legends-spider-man-venom-venompool-baf-wave-1-price-guide.php","Phage","https://www.actionfigure411.com/marvel/marvel-legends-venompool-phage-1515.php","Marvel Legends Phage Venompool Build A Figure","Marvel Legends Phage Venompool Build A Figure 
The Phage symbiote gives its host the ability to forge incredibly dangerous bladed weapons to attack its victims. Includes Legs to complete Venompool Build A Figure.","/marvel/images/thumbs/phage-1515.jpg","C$27.40","C$64.02","C$58.95"
"1700781543-1817","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Venompool","https://www.actionfigure411.com/marvel/marvel-legends-spider-man-venom-venompool-baf-wave-1-price-guide.php","Morbius","https://www.actionfigure411.com/marvel/marvel-legends-venompool-morbius-1516.php","Marvel Legends Morbius Venompool Build A Figure","Marvel Legends Morbius Venompool Build A Figure 
Michael Morbius, the living vampire, prowls the night tortured by his life-sustaining thirst. Includes Right Arm to complete Venompool Build A Figure.","/marvel/images/thumbs/morbius-1516.jpg","C$27.39","C$50.52","C$49.15"
"1700781545-1818","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Venompool","https://www.actionfigure411.com/marvel/marvel-legends-spider-man-venom-venompool-baf-wave-1-price-guide.php","Miles Morales","https://www.actionfigure411.com/marvel/marvel-legends-venompool-miles-morales-1517.php","Marvel Legends Miles Morales Venompool Build A Figure","Marvel Legends Miles Morales Venompool Build A Figure 
When the Venom symbiote attaches to Miles Morales, he gains extreme new powers. Includes Left Arm to complete Venompool Build A Figure.","/marvel/images/thumbs/miles-morales-1517.jpg","C$27.40","C$109.41","C$93.98"
"1700781547-1819","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Venompool","https://www.actionfigure411.com/marvel/marvel-legends-spider-man-venom-venompool-baf-wave-1-price-guide.php","Ghost Spider","https://www.actionfigure411.com/marvel/marvel-legends-venompool-ghost-spider-1518.php","Marvel Legends Ghost Spider Venompool Build A Figure","Marvel Legends Ghost Spider Venompool Build A Figure 
When the Venom symbiote attaches to Gwen Stacy, she gains extreme new powers as Ghost-Spider. Includes Torso to complete Venompool Build A Figure.","/marvel/images/thumbs/ghost-spider-1518.jpg","C$27.39","C$37.05","C$34.08"
"1700781549-1820","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Venompool","https://www.actionfigure411.com/marvel/marvel-legends-spider-man-venom-venompool-baf-wave-1-price-guide.php","Carnage","https://www.actionfigure411.com/marvel/marvel-legends-venompool-carnage-1514.php","Marvel Legends Carnage Venompool Build A Figure","Marvel Legends Carnage Venompool Build A Figure 
Twisted criminal Cletus Kasady sows chaos in the streets as the bloodthirsty villain Carnage. Includes Head to complete Venompool Build A Figure.","/marvel/images/thumbs/carnage-1514.jpg","C$27.40","C$37.91","C$32.50"
"1700781553-1821","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Ursa Major","https://www.actionfigure411.com/marvel/marvel-legends-iron-man-ursa-major-baf-wave-1-price-guide.php","Vault Guardsman","https://www.actionfigure411.com/marvel/marvel-legends-ursa-major-vault-guardsman-2099.php","Marvel Legends Vault Guardsman Ursa Major Build A Figure","Marvel Legends Vault Guardsman Ursa Major Build A Figure 
With armor equipped with repulsor rays, high-carbon steel alloy mesh and radiation shielding, Vault Guardsman turns his sights on the complete destruction of Iron Man. Includes Left Arm to complete Ursa Major Build A Figure.","/marvel/images/thumbs/vault-guardsman-2099.jpg","C$27.40","C$18.35","C$17.93"
"1700781556-1822","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Ursa Major","https://www.actionfigure411.com/marvel/marvel-legends-iron-man-ursa-major-baf-wave-1-price-guide.php","Ursa Major (BAF)","https://www.actionfigure411.com/marvel/marvel-legends-ursa-major-ursa-major-baf-2102.php","Marvel Legends Ursa Major (BAF) Ursa Major Build A Figure","Marvel Legends Ursa Major (BAF) Ursa Major Build A Figure 
Ursa Major Build A Figure released in 2021.","/marvel/images/thumbs/ursa-major-baf-2102.jpg","Marvel","C$66.84","C$77.63"
"1700781558-1823","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Ursa Major","https://www.actionfigure411.com/marvel/marvel-legends-iron-man-ursa-major-baf-wave-1-price-guide.php","Ultron","https://www.actionfigure411.com/marvel/marvel-legends-ursa-major-ultron-2095.php","Marvel Legends Ultron Ursa Major Build A Figure","Marvel Legends Ultron Ursa Major Build A Figure 
Robot. Maniacal genius. Science experiment gone wrong. Ultron is the supreme weapon of mass destruction and a mortal threat to the Avengers— and all humankind. Includes Right Arm to complete Ursa Major Build A Figure.","/marvel/images/thumbs/ultron-2095.jpg","C$27.40","C$53.44","C$46.08"
"1700781560-1824","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Ursa Major","https://www.actionfigure411.com/marvel/marvel-legends-iron-man-ursa-major-baf-wave-1-price-guide.php","Stealth Iron Man","https://www.actionfigure411.com/marvel/marvel-legends-ursa-major-stealth-iron-man-2097.php","Marvel Legends Stealth Iron Man Ursa Major Build A Figure","Marvel Legends Stealth Iron Man Ursa Major Build A Figure 
Tony Stark designed the Stealth Armor to maximize on concealment over offensive weaponry. Includes Left Leg to complete Ursa Major Build A Figure.","/marvel/images/thumbs/stealth-iron-man-2097.jpg","C$27.39","C$32.74","C$30.28"
"1700781562-1825","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Ursa Major","https://www.actionfigure411.com/marvel/marvel-legends-iron-man-ursa-major-baf-wave-1-price-guide.php","Modular Iron Man","https://www.actionfigure411.com/marvel/marvel-legends-ursa-major-modular-iron-man-2096.php","Marvel Legends Modular Iron Man Ursa Major Build A Figure","Marvel Legends Modular Iron Man Ursa Major Build A Figure 
A dazzling technological achievement, the modular suit allows Tony Stark to reconfigure sub-systems like boots, gloves, helmets and scanners on the fly. Does not include a BAF piece.","/marvel/images/thumbs/modular-iron-man-2096.jpg","C$27.40","C$33.84","C$30.95"
"1700781564-1826","https://www.actionfigure411.com/marvel/build-a-figure-list.php","Ursa Major","https://www.actionfigure411.com/marvel/marvel-legends-iron-man-ursa-major-baf-wave-1-price-guide.php","Ironheart","https://www.actionfigure411.com/marvel/marvel-legends-ursa-major-ironheart-2098.php","Marvel Legends Ironheart Ursa Major Build A Figure","Marvel Legends Ironheart Ursa Major Build A Figure 
A certified super-genius, Riri Williams turns a dorm room project into a high-tech, high-flying suit of armor and becomes a force for good. Includes Right Leg to complete Ursa Major Build A Figure.","/marvel/images/thumbs/ironheart-2098.jpg","C$27.40","C$36.35","C$31.32"
