web-scraper-order,web-scraper-start-url,figure_link,figure_link-href,name,description,image-src,price
"1700698623-521","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Tripwire, Apsara & M.A.C.L.E.O.D.","https://www.actionfigure411.com/gijoe/6-classified-series/classified/tripwire-apsara-m-a-c-l-e-o-d--6969.php","G.I. Joe 6"" Classified Series Tripwire, Apsara & M.A.C.L.E.O.D.","G.I. Joe 6"" Classified Series Tripwire, Apsara & M.A.C.L.E.O.D. 
Tripwire freaks people out. He's always clumsy, jittery and dropping things except when he's working with high explosives. Explosives are the only things that calm him down.



Tripwire, Apsara, & M.A.C.L.E.O.D. Deluxe pack contains 15 character-inspired accessories including his bomb-sniffing rat ""Apsara,"" robot M.A.C.L.E.O.D. (Mobile Armored Control Lever for Ordnance Disposal) with remote control; mine sweeper, heavy and light armor gear, neck guards, and helmets, 2 mines, backpack, and weapon accessory; plus a footlocker to stow all his gear","/gijoe/images/thumbs/tripwire-apsara-m-a-c-l-e-o-d--6969.jpg","C$54.46"
"1700698626-522","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Nightforce David “Big Ben” Bennett","https://www.actionfigure411.com/gijoe/6-classified-series/classified/nightforce-david-big-ben-bennett-6201.php","G.I. Joe 6"" Classified Series Nightforce David “Big Ben” Bennett","G.I. Joe 6"" Classified Series Nightforce David “Big Ben” Bennett 
To qualify for the SAS, a candidate must complete the ""Long Drag"" in under 20 hours. It's a forced march over 64km through marshes and rough, hilly terrain, carrying 25kg of equipment. Big Ben finished in 12, had a bit of supper, and volunteered to search for others who got lost in the moors



New to the G.I. Joe Classified Series line, Nightforce David ""Big Ben"" Bennett comes ready for adventure, with multiple points of articulation for high poseability. This Nightforce David “Big Ben” Bennett figure contains 4 character-inspired accessories including alternate head with gas mask, and 3 weapon accessories.","/gijoe/images/thumbs/nightforce-david-big-ben-bennett-6201.jpg","C$56.88"
"1700698628-523","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Range-Viper","https://www.actionfigure411.com/gijoe/6-classified-series/classified/range-viper-6200.php","G.I. Joe 6"" Classified Series Range-Viper","G.I. Joe 6"" Classified Series Range-Viper 
Range-Vipers have an unusually high tolerance for discomfort. They subsist on the vermin they catch, must procure all their own supplies, and build their own shelters. Once dropped into the field, they don’t cost anything to feed, clothe or arm making them ideal cannon fodder. 


This Range-Viper figure contains 8 character-inspired accessories including a bandolier, bandana, sai, pickaxe, backpack, and 3 weapon accessories; plus a footlocker to stow all their gear! 


Includes: Figure and 8 accessories","/gijoe/images/thumbs/range-viper-6200.jpg","C$60.83"
"1700698630-524","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Philip “Chuckles” Provost","https://www.actionfigure411.com/gijoe/6-classified-series/classified/philip-chuckles-provost-6885.php","G.I. Joe 6"" Classified Series Philip “Chuckles” Provost","G.I. Joe 6"" Classified Series Philip “Chuckles” Provost 
Stop me if you’ve heard this one: guy walks into a bar on Cobra Island, the Coconut Palm to be exact. After tossing back a few with the locals this Chuckles fellow, kind of a joker, discovers there’s a hidden safe upstairs with a briefcase full of secret documents and millions in gold. So the trick is, can he nab the case and 23 skidoo without blowing his cover or will the Crimson Strike Team bring down a world of hurt on him? Either way at least he got lei’d.



Includes 14 character-inspired accessories including a briefcase, top secret folder, sunglasses, cassette player with headphones, binoculars, 2 sets of handcuffs, alternate head with bruised face, alternate hands with brass knuckles, and 2 weapon accessories.","/gijoe/images/thumbs/philip-chuckles-provost-6885.jpg","C$79.45"
"1700698632-525","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Scrap-Iron & Anti-Armor Drone (Deluxe)","https://www.actionfigure411.com/gijoe/6-classified-series/classified/scrap-iron-anti-armor-drone-deluxe-5683.php","G.I. Joe 6"" Classified Series Scrap-Iron & Anti-Armor Drone (Deluxe)","G.I. Joe 6"" Classified Series Scrap-Iron & Anti-Armor Drone (Deluxe) 
Scrap Iron is an anti-armor specialist and weapons designer whose passion for precision drove him to develop his own munitions. His remote-controlled drone is his latest development for Cobra



Scrap-Iron & Anti-Armor Drone comes ready for adventure, with multiple points of articulation for high poseability. This Scrap-Iron & Anti-Armor Drone figure contains 11 character-inspired accessories including his missile-launching drone, drone controls, removable helmet, 6 blast effects, 2 missiles and a weapon accessory; plus a footlocker to stow all his gear!



True to his name, this figure brings perfection, metal, and destruction to a whole new level with his lazer-guided, rocket-loaded, piezo-electric Anti-Armor Drone, complete with blast effects and other character-inspired accessories!","/gijoe/images/thumbs/scrap-iron-anti-armor-drone-deluxe-5683.jpg","C$46.93"
"1700698634-526","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Edward “Torpedo” Leiaioha","https://www.actionfigure411.com/gijoe/6-classified-series/classified/edward-torpedo-leiaioha-6010.php","G.I. Joe 6"" Classified Series Edward “Torpedo” Leiaioha","G.I. Joe 6"" Classified Series Edward “Torpedo” Leiaioha 
Dive, dive my darling! Take to the seas with your very own G.I. Joe Classified Series 6-Inch Edward Torpedo Leiaioha Action Figure. The closed-box packaging showcases all your great accessories, character-specific File Card Icons, original artwork, and unique digital renders that are perfect for display. Or you could just open it and play with it in the tub. (We don't judge.) 


This Edward “Torpedo” Leialoha figure contains 6 character-inspired accessories including his scuba gear with air tank, removable fins, and weapon accessories; plus a footlocker to stow all his gear! Native Hawaiian and strict vegetarian Torpedo was SCUBA instructor prior to joining the Joes. Spending so much time alone underwater makes him come across as aloof, but he’s a consummate professional.","/gijoe/images/thumbs/edward-torpedo-leiaioha-6010.jpg","C$34.83"
"1700698637-527","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Copperhead","https://www.actionfigure411.com/gijoe/6-classified-series/classified/copperhead-6008.php","G.I. Joe 6"" Classified Series Copperhead","G.I. Joe 6"" Classified Series Copperhead 
An inveterate gambler, Copperhead has gambled his way into hacking through the swamps in the service of Cobra – likely to pay off his misbegotten debts.s…wherever there’s trouble, G.I. Joe is there. 


Cobra Copperhead comes ready for adventure, with multiple points of articulation for high poseability. This Cobra Copperhead figure contains 4 character-inspired accessories including a machete, backpack holster, and weapon accessories; plus a footlocker to stow all his gear!","/gijoe/images/thumbs/copperhead-6008.jpg","C$36.19"
"1700698639-528","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Craig “Rock ‘N Roll” McConnel","https://www.actionfigure411.com/gijoe/6-classified-series/classified/craig-rock-n-roll-mcconnel-6012.php","G.I. Joe 6"" Classified Series Craig “Rock ‘N Roll” McConnel","G.I. Joe 6"" Classified Series Craig “Rock ‘N Roll” McConnel 
Whether he’s surfing waves on the beaches of Malibu, playing his bass, or charging headfirst into oncoming fire, Rock ’N Roll is ready to cut loose.



This Craig “Rock ‘N Roll” McConnel figure contains 7 character-inspired accessories including removable helmet, walkie-talkie, bandolier belt, 2 alternate hands (fist and “sign of the horns”), and weapon accessories; plus a footlocker to stow all his gear!","/gijoe/images/thumbs/craig-rock-n-roll-mcconnel-6012.jpg","C$30.91"
"1700698641-529","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Shipwreck","https://www.actionfigure411.com/gijoe/6-classified-series/classified/shipwreck-6011.php","G.I. Joe 6"" Classified Series Shipwreck","G.I. Joe 6"" Classified Series Shipwreck 
Whether swabbing the deck or sneaking into Extensive Enterprises Shipwreck is shipshape to the last detail.



This Shipwreck figure contains 6 character-inspired accessories including his faithful parrot “Polly,” coiled rope, grappling hook, weapon accessories, and removable hair to swap out his signature dixie cup cover; plus a footlocker to stow all his gear!","/gijoe/images/thumbs/shipwreck-6011.jpg","C$30.35"
"1700698643-530","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Arctic B.A.T.","https://www.actionfigure411.com/gijoe/6-classified-series/classified/arctic-b-a-t--6776.php","G.I. Joe 6"" Classified Series Arctic B.A.T.","G.I. Joe 6"" Classified Series Arctic B.A.T. 
Arctic B.A.T. comes ready for adventure, with multiple points of articulation for high poseability. This Arctic B.A.T. figure contains 8 character-inspired accessories including chainsaw hand attachment, backpack, 2 weapon accessories, alternate head, and 3 interchangeable chest plates to customize your figure for troop building possibilities; plus a footlocker to stow all its gear! 


Includes: Figure and 8 accessories","/gijoe/images/thumbs/arctic-b-a-t--6776.jpg","C$29.00"
"1700698645-531","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Valkyries","https://www.actionfigure411.com/gijoe/6-classified-series/classified/valkyries-6013.php","G.I. Joe 6"" Classified Series Valkyries","G.I. Joe 6"" Classified Series Valkyries 
These Cobra Troopers are not to be underestimated or trifled with.



This Cobra Valkyries pack is bursting with 2 figures and 25 character-inspired accessories including 2 trooper helmets, an officer helmet, alternate head, 2 backpacks, 9 blast effects, and 10 weapon accessories; plus a footlocker to stow all their gear! The Cobra Valkyries stalk the battlefield as “choosers of the slain” ushering any enemies who cross their path straight to Valhalla.","/gijoe/images/thumbs/valkyries-6013.jpg","C$109.53"
"1700698647-532","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Snow Job","https://www.actionfigure411.com/gijoe/6-classified-series/classified/snow-job-6014.php","G.I. Joe 6"" Classified Series Snow Job","G.I. Joe 6"" Classified Series Snow Job 
An Olympic Biathlon contender Snow Job accepted recruitment into the Joes for the vigorous training regimen and decided he liked the challenge more. He’s been known to bullseye Arctic B.A.T.S. in gale-force polar winds from more than 2 klicks away. 


This Snow Job figure contains 13 character-inspired accessories including snowshoes, skis, ski poles, goggles, backpack, alternate uncovered head, and weapon accessories; plus a footlocker to stow all his gear!","/gijoe/images/thumbs/snow-job-6014.jpg","C$74.24"
"1700698650-533","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Python Crimson Guard (Python Patrol)","https://www.actionfigure411.com/gijoe/6-classified-series/classified/python-crimson-guard-python-patrol-6658.php","G.I. Joe 6"" Classified Series Python Crimson Guard (Python Patrol)","G.I. Joe 6"" Classified Series Python Crimson Guard (Python Patrol) 
G.I. Joe Classified Python Crimson Guard (Python Patrol).



Includes sword, sheath, assault rifle with bayonet, ammo clip, hand gun, knife and backpack.



Target exclusive.","/gijoe/images/thumbs/python-crimson-guard-python-patrol-6658.jpg","C$31.27"
"1700698652-534","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Dusty (Tiger Force)","https://www.actionfigure411.com/gijoe/6-classified-series/classified/dusty-tiger-force-6657.php","G.I. Joe 6"" Classified Series Dusty (Tiger Force)","G.I. Joe 6"" Classified Series Dusty (Tiger Force) 
G.I. Joe Classified Dusty (Tiger Force). 


Includes head covering, goggles, backpack, weapon, weapon ammo clip and knife.



Exclusive to Target.","/gijoe/images/thumbs/dusty-tiger-force-6657.jpg","C$27.47"
"1700698654-535","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Vincent R. Falcone (Falcon)","https://www.actionfigure411.com/gijoe/6-classified-series/classified/vincent-r-falcone-falcon-5279.php","G.I. Joe 6"" Classified Series Vincent R. Falcone (Falcon)","G.I. Joe 6"" Classified Series Vincent R. Falcone (Falcon) 
This Vincent R. ""Falcon"" Falcone figure comes ready for action, with multiple points of articulation for high poseability and 4 character-inspired accessories including his signature beret, backpack, and weapon accessories; plus a footlocker to stow all his gear.","/gijoe/images/thumbs/vincent-r-falcone-falcon-5279.jpg","C$29.38"
"1700698656-536","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Stuart Selkirk (Outback)","https://www.actionfigure411.com/gijoe/6-classified-series/classified/stuart-selkirk-outback-5277.php","G.I. Joe 6"" Classified Series Stuart Selkirk (Outback)","G.I. Joe 6"" Classified Series Stuart Selkirk (Outback) 
This Stuart ""Outback"" Selkirk figure come ready for action, with multiple points of articulation for high poseability and 7 character-inspired accessories including survivalist backpack, entrenching shovel, flashlight, and weapon accessories; plus a footlocker to stow all his gear.","/gijoe/images/thumbs/stuart-selkirk-outback-5277.jpg","C$33.20"
"1700698658-537","https://www.actionfigure411.com/gijoe/classified-price-guide.php","David L. Bazooka Katzenbogen","https://www.actionfigure411.com/gijoe/6-classified-series/classified/david-l-bazooka-katzenbogen-6009.php","G.I. Joe 6"" Classified Series David L. Bazooka Katzenbogen","G.I. Joe 6"" Classified Series David L. Bazooka Katzenbogen 
This David L. ""Bazooka"" Katzenbogen figure come ready for action, with multiple points of articulation for high poseability and 7 character-inspired accessories including his signature helmet and missile launcher; plus a footlocker to stow all his gear! And with custom artwork by Anjin Anhut, the G.I. Joe Classified Series David L. ""Bazooka"" Katzenbogen package will make a mark on shelves.","/gijoe/images/thumbs/david-l-bazooka-katzenbogen-6009.jpg","C$34.75"
"1700698660-538","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Kamakura","https://www.actionfigure411.com/gijoe/6-classified-series/classified/kamakura-4312.php","G.I. Joe 6"" Classified Series Kamakura","G.I. Joe 6"" Classified Series Kamakura 
This G.I. Joe Classified Kamakura action figure comes ready for action, with multiple points of articulation for high poseability and 11 character-inspired accessories including cloaked and uncloaked heads, 2 katana, 2 daggers, ninja spear and additional weapon accessories; plus a footlocker to stow all his gear! And with custom artwork by Ivan Shavrin, the G.I. Joe Classified Series Kamakura package will make a mark on shelves.","/gijoe/images/thumbs/kamakura-4312.jpg","C$39.20"
"1700698663-539","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Crimson B.A.T.","https://www.actionfigure411.com/gijoe/6-classified-series/classified/crimson-b-a-t--5276.php","G.I. Joe 6"" Classified Series Crimson B.A.T.","G.I. Joe 6"" Classified Series Crimson B.A.T. 
This CRIMSON B.A.T. figure comes ready for action, with multiple points of articulation for high poseability and 8 character-inspired accessories including battle-damaged alternate head and chest plate, swappable claw, flame thrower and lazer hands, and a backpack; plus a footlocker to stow all its gear and parts.","/gijoe/images/thumbs/crimson-b-a-t--5276.jpg","C$28.84"
"1700698665-540","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Courtney Krieger (Cover Girl)","https://www.actionfigure411.com/gijoe/6-classified-series/classified/courtney-krieger-cover-girl-5278.php","G.I. Joe 6"" Classified Series Courtney Krieger (Cover Girl)","G.I. Joe 6"" Classified Series Courtney Krieger (Cover Girl) 
This Courtney “Cover Girl” Krieger figure come ready for action, with multiple points of articulation for high poseability and 4 character-inspired accessories including weapons, a wrench, and data pad with schematics of the Wolverine Armored Missile Vehicle; plus a footlocker to stow all her gear.","/gijoe/images/thumbs/courtney-krieger-cover-girl-5278.jpg","C$50.02"
"1700698667-541","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Gabriel Kelly (Barbecue)","https://www.actionfigure411.com/gijoe/6-classified-series/classified/gabriel-kelly-barbecue-5280.php","G.I. Joe 6"" Classified Series Gabriel Kelly (Barbecue)","G.I. Joe 6"" Classified Series Gabriel Kelly (Barbecue) 
This Mad Marauders Gabriel “Barbecue” Kelly figure comes ready for action, with multiple points of articulation for high poseability and 5 character-inspired accessories including 2 fire axes and an extinguisher; plus a footlocker to stow all his gear.","/gijoe/images/thumbs/gabriel-kelly-barbecue-5280.jpg","C$28.63"
"1700698669-542","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Serpentor and Air Chariot","https://www.actionfigure411.com/gijoe/6-classified-series/classified/serpentor-and-air-chariot-4624.php","G.I. Joe 6"" Classified Series Serpentor and Air Chariot","G.I. Joe 6"" Classified Series Serpentor and Air Chariot 
Serpentor and Air Chariot PulseCon exclusive includes Air Chariot vehicle, and 8 character-inspired accessories including fanned and hooded cowls, serpent staff, cape, gladius sword, and his pet king cobra Bucephalus.","/gijoe/images/thumbs/serpentor-and-air-chariot-4624.jpg","C$209.35"
"1700698671-543","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Python Patrol Officer","https://www.actionfigure411.com/gijoe/6-classified-series/classified/python-patrol-officer-4167.php","G.I. Joe 6"" Classified Series Python Patrol Officer","G.I. Joe 6"" Classified Series Python Patrol Officer 
This Python Patrol Officer figure come ready for action, with multiple points of articulation for high poseability and 9 character-inspired accessories. And with custom artwork by François Coutu, the G.I. Joe Classified Series Python Patrol Officer package will make a mark on shelves.","/gijoe/images/thumbs/python-patrol-officer-4167.jpg","null"
"1700698674-544","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Recondo","https://www.actionfigure411.com/gijoe/6-classified-series/classified/recondo-4166.php","G.I. Joe 6"" Classified Series Recondo","G.I. Joe 6"" Classified Series Recondo 
This Recondo figure comes ready for action, with multiple points of articulation for high poseability and 6 character-inspired accessories including his path-clearing machette and signature slouch hat. And with custom artwork by Robert Sammelin, the G.I. Joe Classified Series Recondo package will make a mark on shelves.","/gijoe/images/thumbs/recondo-4166.jpg","C$25.97"
"1700698676-545","https://www.actionfigure411.com/gijoe/classified-price-guide.php","David L. Bazooka Katzenbogen (Tiger Force)","https://www.actionfigure411.com/gijoe/6-classified-series/classified/david-l-bazooka-katzenbogen-tiger-force-4168.php","G.I. Joe 6"" Classified Series David L. Bazooka Katzenbogen (Tiger Force)","G.I. Joe 6"" Classified Series David L. Bazooka Katzenbogen (Tiger Force) 
This Tiger Force David L. “Bazooka” Katzenbogen figure comes ready for action, with multiple points of articulation for high poseability and 7 character-inspired accessories. And with custom artwork by Anjin Anhut, the G.I. Joe Classified Series Tiger Force David L. “Bazooka” Katzenbogen package will make a mark on shelves.","/gijoe/images/thumbs/david-l-bazooka-katzenbogen-tiger-force-4168.jpg","C$27.58"
"1700698678-546","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Sgt Slaughter","https://www.actionfigure411.com/gijoe/6-classified-series/classified/sgt-slaughter-4539.php","G.I. Joe 6"" Classified Series Sgt Slaughter","G.I. Joe 6"" Classified Series Sgt Slaughter 
This Sgt Slaughter figure comes ready for action, with multiple points of articulation for high poseability and 14 character-inspired accessories including his signature drill sergeant hat, sunglasses, whistle, instructor baton, miniature carded action figure, 8 interchangeable hands, and additional weapon accessories; plus a footlocker to stow all his gear!","/gijoe/images/thumbs/sgt-slaughter-4539.jpg","C$34.57"
"1700698680-547","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Snake Eyes & Timber (v2)","https://www.actionfigure411.com/gijoe/6-classified-series/classified/snake-eyes-timber-v2-4301.php","G.I. Joe 6"" Classified Series Snake Eyes & Timber (v2)","G.I. Joe 6"" Classified Series Snake Eyes & Timber (v2) 
The G.I. JOE Classified Series Snake Eyes & Timber 6” Action Figure features a classic Snake Eyes-inspired design updated to bring the G.I. Joe ninja into the modern era, plus 12 accessories inspired by the character’s rich history, as well as the inclusion of his wolf companion, Timber. Accessories include accessories including an array of weapons, alternate hands, and a fangs-bared alternate head for Timber; plus a footlocker to stow all their gear! And with custom artwork by Greg Manchess, the G.I. Joe Classified Series Snake Eyes & Timber package will make a mark on shelves.","/gijoe/images/thumbs/snake-eyes-timber-v2-4301.jpg","C$45.10"
"1700698682-548","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Blue Ninjas 2 Pack","https://www.actionfigure411.com/gijoe/6-classified-series/classified/blue-ninjas-2-pack-4313.php","G.I. Joe 6"" Classified Series Blue Ninjas 2 Pack","G.I. Joe 6"" Classified Series Blue Ninjas 2 Pack 
These G.I. Joe Classified Blue Ninjas figures come ready for action, with multiple points of articulation for high poseability and 16 character-inspired accessories including an arsenal of ninja weapons and alternate heads wearing Oni and Kitsune masks; plus a footlocker to stow all their gear! And with custom artwork by Billy Christian, the G.I. Joe Classified Series Blue Ninjas 2 Pack will make a mark on shelves.","/gijoe/images/thumbs/blue-ninjas-2-pack-4313.jpg","C$64.43"
"1700698684-549","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Crimson Guard","https://www.actionfigure411.com/gijoe/6-classified-series/classified/crimson-guard-4164.php","G.I. Joe 6"" Classified Series Crimson Guard","G.I. Joe 6"" Classified Series Crimson Guard 
This Crimson Guard figure comes ready for action, with multiple points of articulation for high poseability and 7 character-inspired accessories. And with custom artwork by Orlando Arocena, the G.I. Joe Classified Series Crimson Guard package will make a mark on shelves.","/gijoe/images/thumbs/crimson-guard-4164.jpg","C$28.83"
"1700698686-550","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Dusty","https://www.actionfigure411.com/gijoe/6-classified-series/classified/dusty-4165.php","G.I. Joe 6"" Classified Series Dusty","G.I. Joe 6"" Classified Series Dusty 
This G.I. Joe Classified Series Dusty figure features premium detailing and articulation for dramatic action poseability.","/gijoe/images/thumbs/dusty-4165.jpg","C$23.73"
"1700698689-551","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Zarana","https://www.actionfigure411.com/gijoe/6-classified-series/classified/zarana-4163.php","G.I. Joe 6"" Classified Series Zarana","G.I. Joe 6"" Classified Series Zarana 
This Zarana figure comes ready for action, with multiple points of articulation for high poseability and 6 character-inspired accessories. And with custom artwork by Marcus Williams, the G.I. Joe Classified Series Zarana package will make a mark on shelves.","/gijoe/images/thumbs/zarana-4163.jpg","C$22.47"
"1700698691-552","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Cobra Viper Officer & Vipers 3 Pack","https://www.actionfigure411.com/gijoe/6-classified-series/classified/cobra-viper-officer-vipers-3-pack-4051.php","G.I. Joe 6"" Classified Series Cobra Viper Officer & Vipers 3 Pack","G.I. Joe 6"" Classified Series Cobra Viper Officer & Vipers 3 Pack 
These Cobra Viper Officer & Vipers figures come ready for action, with multiple points of articulation for high poseability and 32 character-inspired accessories.","/gijoe/images/thumbs/cobra-viper-officer-vipers-3-pack-4051.jpg","C$82.71"
"1700698693-553","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Sgt. Stalker","https://www.actionfigure411.com/gijoe/6-classified-series/classified/sgt-stalker-4054.php","G.I. Joe 6"" Classified Series Sgt. Stalker","G.I. Joe 6"" Classified Series Sgt. Stalker 
Lonzo Stalker Wilkinson, Sgt Stalker features a classic design updated to bring the G.I. Joe Medic and Interpreter into the modern era, plus accessories inspired by the character’s rich history.","/gijoe/images/thumbs/sgt-stalker-4054.jpg","C$22.57"
"1700698695-554","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Xamot Paoli","https://www.actionfigure411.com/gijoe/6-classified-series/classified/xamot-paoli-4053.php","G.I. Joe 6"" Classified Series Xamot Paoli","G.I. Joe 6"" Classified Series Xamot Paoli 
This Xamot Paoli action figure features a classic design updated to bring the Cobra Crimson Guard Commander into the modern era, plus accessories inspired by the character’s rich history","/gijoe/images/thumbs/xamot-paoli-4053.jpg","C$49.11"
"1700698697-555","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Tomax Paoli","https://www.actionfigure411.com/gijoe/6-classified-series/classified/tomax-paoli-4052.php","G.I. Joe 6"" Classified Series Tomax Paoli","G.I. Joe 6"" Classified Series Tomax Paoli 
This Tomax Paoli action figure features a classic design updated to bring the Cobra Crimson Guard Commander into the modern era, plus accessories inspired by the character’s rich history","/gijoe/images/thumbs/tomax-paoli-4052.jpg","C$23.16"
"1700698699-556","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Dr. Mindbender (Deluxe)","https://www.actionfigure411.com/gijoe/6-classified-series/classified/dr-mindbender-deluxe-4289.php","G.I. Joe 6"" Classified Series Dr. Mindbender (Deluxe)","G.I. Joe 6"" Classified Series Dr. Mindbender (Deluxe) 
GI Joe Classified Dr. Mindbender Deluxe action figure. This Dr. Mindbender figure comes ready for action, with multiple points of articulation for high poseability and 18 character-inspired accessories.","/gijoe/images/thumbs/dr-mindbender-deluxe-4289.jpg","C$120.87"
"1700698701-557","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Cobra Viper (Python Patrol)","https://www.actionfigure411.com/gijoe/6-classified-series/classified/cobra-viper-python-patrol-3580.php","G.I. Joe 6"" Classified Series Cobra Viper (Python Patrol)","G.I. Joe 6"" Classified Series Cobra Viper (Python Patrol) 
This Cobra Viper figure comes ready for action, with multiple points of articulation for high poseability and 5 character-inspired accessories. And with custom artwork by Anthony Petrie, the G.I. Joe Classified Series Cobra Viper package will make a mark on shelves.



Features a classic design updated to bring the Python Patrol Cobra Foot Soldier into the modern era, plus accessories inspired by the character’s rich history.



Includes: figure and 5 accessories.","/gijoe/images/thumbs/cobra-viper-python-patrol-3580.jpg","C$31.79"
"1700698704-558","https://www.actionfigure411.com/gijoe/classified-price-guide.php","B.A.T. (Python Patrol)","https://www.actionfigure411.com/gijoe/6-classified-series/classified/b-a-t-python-patrol-3581.php","G.I. Joe 6"" Classified Series B.A.T. (Python Patrol)","G.I. Joe 6"" Classified Series B.A.T. (Python Patrol) 
This B.A.T. figure comes ready for action, with multiple points of articulation for high poseability and 6 character-inspired accessories. And with custom artwork by Muhammad Firdaus, the G.I. Joe Classified Series B.A.T. package will make a mark on shelves.



Features a classic design updated to bring the Python Patrol Cobra Environmental Specialist into the modern era and accessories inspired by the character’s rich history.



Includes: figure and 6 accessories.","/gijoe/images/thumbs/b-a-t-python-patrol-3581.jpg","C$25.75"
"1700698706-559","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Duke & RAM Cycle (Tiger Force)","https://www.actionfigure411.com/gijoe/6-classified-series/classified/duke-ram-cycle-tiger-force-4318.php","G.I. Joe 6"" Classified Series Duke & RAM Cycle (Tiger Force)","G.I. Joe 6"" Classified Series Duke & RAM Cycle (Tiger Force) 
The G.I. Joe Classified Series evolves the characters fans know and love into a highly articulated 6-inch scale with premium deco and detailing. The Classified Series Tiger Force Duke & RAM Action Figure and Vehicle features a classic design updated to bring the G.I. Joe Leader and RAM cycle into the modern era and 8 accessories inspired by the character’s rich history, including weapons, backpack, binoculars and a footlocker to stow all his gear. Designed by artist David Marquez, the packing features custom art that provides a unique style to the Tiger Force Duke & Ram cycle pack.","/gijoe/images/thumbs/duke-ram-cycle-tiger-force-4318.jpg","C$37.46"
"1700698708-560","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Stuart “Outback” Selkirk","https://www.actionfigure411.com/gijoe/6-classified-series/classified/stuart-outback-selkirk-3578.php","G.I. Joe 6"" Classified Series Stuart “Outback” Selkirk","G.I. Joe 6"" Classified Series Stuart “Outback” Selkirk 
This Stuart “Outback” Selkirk figure comes ready for action, with multiple points of articulation for high poseability and 7 character-inspired accessories. And with custom artwork by Hartley Combs, the G.I. Joe Classified Series Stuart “Outback” Selkirk package will make a mark on shelves.



Features a classic design updated to bring the Tiger Force Environmental Specialist into the modern era and accessories inspired by his history.



Includes: figure and 7 accessories.","/gijoe/images/thumbs/stuart-outback-selkirk-3578.jpg","C$34.44"
"1700698710-561","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Croc Master & Fiona","https://www.actionfigure411.com/gijoe/6-classified-series/classified/croc-master-fiona-3582.php","G.I. Joe 6"" Classified Series Croc Master & Fiona","G.I. Joe 6"" Classified Series Croc Master & Fiona 
These Croc Master & Fiona figures come ready for action, with multiple points of articulation for high poseability and 7 character-inspired accessories. And with custom artwork by Luke Preece, the G.I. Joe Classified Series Croc Master & Fiona package will make a mark on shelves.



This Croc Master action figure comes with an additional crocodile figure of Croc Master’s loyal pet Fiona. A great addition to any G.I. Joe fan’s action figure collection.



Includes: G.I. Joe Classified Series Croc Master & Fiona action figures and 7 accessories.","/gijoe/images/thumbs/croc-master-fiona-3582.jpg","C$45.44"
"1700698713-562","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Cobra Officer","https://www.actionfigure411.com/gijoe/6-classified-series/classified/cobra-officer-3630.php","G.I. Joe 6"" Classified Series Cobra Officer","G.I. Joe 6"" Classified Series Cobra Officer 
This Cobra Officer figure comes ready for action, with multiple points of articulation for high poseability and 9 character-inspired accessories. And with custom artwork by François Coutu, the G.I. Joe Classified Series Cobra Officer package will make a mark on shelves.","/gijoe/images/thumbs/cobra-officer-3630.jpg","C$32.50"
